pays,popu,tranches_age,value
Libya,6871,D,200
Morocco,36911,D,1850
Sudan,43849,D,1116
Tunisia,11819,D,674
Western Sahara,598,D,16
Armenia,2959,D,215
Azerbaijan,10139,D,460
Bahrain,1700,D,32
Cyprus,1206,D,101
Georgia,3988,D,361
Iraq,40224,D,955
Israel,8658,D,643
Jordan,10201,D,261
Kuwait,4270,D,103
Lebanon,6823,D,329
Oman,5108,D,81
Qatar,2881,D,41
Saudi Arabia,34814,D,848
State of Palestine,5099,D,112
Syrian Arab Republic,17500,D,566
Turkey,84337,D,4716
United Arab Emirates,9892,D,93
Yemen,29825,D,629
Kazakhstan,18779,D,948
Kyrgyzstan,6525,D,223
Tajikistan,9538,D,220
Turkmenistan,6033,D,202
Uzbekistan,33468,D,1115
Afghanistan,38927,D,757
Bangladesh,164688,D,5153
Bhutan,771,D,29
India,1380004,D,62351
Iran (Islamic Republic of),83994,D,3713
Maldives,541,D,11
Nepal,29137,D,1139
Pakistan,220893,D,6329
Sri Lanka,21414,D,1626
China,1439323,D,119100
"China, Hong Kong SAR",7499,D,804
"China, Macao SAR",649,D,55
"China, Taiwan Province of China",23817,D,2320
Dem. People's Republic of Korea,25778,D,1407
Japan,126477,D,17506
Mongolia,3279,D,97
Republic of Korea,51269,D,4677
Brunei Darussalam,435,D,17
Cambodia,16719,D,584
Indonesia,273523,D,11754
Lao People's Democratic Republic,7278,D,219
Malaysia,32367,D,1586
Myanmar,54410,D,2445
Philippines,109581,D,4147
Singapore,5851,D,546
Thailand,69801,D,5539
Timor-Leste,1318,D,38
Viet Nam,97339,D,4664
Antigua and Barbuda,99,D,6
Aruba,108,D,10
Bahamas,394,D,20
Barbados,288,D,27
Cuba,11326,D,1016
Curaçao,163,D,17
Dominican Republic,10849,D,498
Grenada,114,D,7
Guadeloupe,400,D,43
Haiti,11402,D,382
Jamaica,2960,D,161
Martinique,373,D,44
Puerto Rico,2859,D,323
Saint Lucia,182,D,11
Saint Vincent and the Grenadines,111,D,7
Trinidad and Tobago,1398,D,104
United States Virgin Islands,103,D,13
Belize,395,D,12
Costa Rica,5093,D,318
El Salvador,6488,D,325
Guatemala,17915,D,548
Honduras,9906,D,306
Mexico,128934,D,6062
Nicaragua,6622,D,232
Panama,4312,D,215
Argentina,45195,D,2982
Bolivia (Plurinational State of),11673,D,504
Brazil,212559,D,12738
Chile,19116,D,1390
Colombia,50882,D,2873
Ecuador,17644,D,814
French Guiana,299,D,11
Guyana,786,D,36
Paraguay,7133,D,310
Peru,32971,D,1761
Suriname,588,D,26
Uruguay,3473,D,273
Venezuela (Bolivarian Republic of),28437,D,1469
Australia,25500,D,2316
New Zealand,4820,D,454
Fiji,894,D,38
New Caledonia,286,D,18
Papua New Guinea,8947,D,245
Solomon Islands,687,D,17
Vanuatu,308,D,8
Guam,168,D,11
Kiribati,118,D,3
Micronesia (Fed. States of),115,D,4
French Polynesia,281,D,16
Samoa,200,D,7
Tonga,104,D,4
Belarus,9449,D,848
Bulgaria,6949,D,880
Czechia,10708,D,1294
Hungary,9661,D,1146
Poland,37849,D,4305
Republic of Moldova,4034,D,335
Romania,19238,D,2173
Russian Federation,145936,D,13818
Slovakia,5460,D,570
Ukraine,43733,D,4381
Channel Islands,173,D,17
Denmark,5791,D,660
Estonia,1326,D,137
Finland,5539,D,714
Iceland,339,D,31
Ireland,4940,D,428
Latvia,1888,D,195
Lithuania,2723,D,274
Norway,5422,D,542
Sweden,10098,D,1091
United Kingdom,67887,D,6770
Albania,2879,D,252
Bosnia and Herzegovina,3279,D,365
Croatia,4105,D,482
Greece,10423,D,1130
Italy,60463,D,6923
Malta,442,D,56
Montenegro,628,D,62
North Macedonia,2083,D,195
Portugal,10195,D,1188
Serbia,8738,D,1059
Slovenia,2078,D,237
Spain,46753,D,4605
Austria,9005,D,858
Belgium,11591,D,1190
France,65274,D,7316
Germany,83784,D,8657
Luxembourg,625,D,49
Netherlands,17136,D,1957
Switzerland,8657,D,864
Canada,37742,D,3943
United States of America,331002,D,32174
Burundi,11890,E,74
Comoros,872,E,8
Djibouti,987,E,14
Eritrea,3546,E,53
Ethiopia,114962,E,1309
Kenya,53772,E,337
Madagascar,27690,E,247
Malawi,19131,E,149
Mauritius,1273,E,52
Mayotte,272,E,4
Mozambique,31258,E,264
Réunion,895,E,45
Rwanda,12952,E,109
Seychelles,96,E,3
Somalia,15895,E,127
South Sudan,11191,E,119
Uganda,45741,E,240
United Republic of Tanzania,59736,E,432
Zambia,18385,E,113
Zimbabwe,14863,E,148
Angola,32866,E,203
Cameroon,26545,E,198
Central African Republic,4829,E,39
Chad,16426,E,117
Congo,5517,E,41
Democratic Republic of the Congo,89562,E,816
Equatorial Guinea,1404,E,10
Gabon,2225,E,26
Sao Tome and Principe,220,E,2
Botswana,2352,E,31
Eswatini,1162,E,16
Lesotho,2144,E,35
Namibia,2539,E,31
South Africa,59307,E,1002
Benin,12123,E,126
Burkina Faso,20904,E,134
Cabo Verde,557,E,11
Côte d'Ivoire,26378,E,198
Gambia,2417,E,17
Ghana,31070,E,253
Guinea,13132,E,103
Guinea-Bissau,1968,E,14
Liberia,5057,E,52
Mali,20251,E,140
Mauritania,4650,E,45
Niger,24207,E,161
Nigeria,206142,E,1325
Senegal,16744,E,155
Sierra Leone,7975,E,66
Togo,8280,E,61
Algeria,43852,E,1090
Egypt,102334,E,1629
Libya,6871,E,111
Morocco,36911,E,957
Sudan,43849,E,495
Tunisia,11819,E,375
Western Sahara,598,E,4
Armenia,2959,E,133
Azerbaijan,10139,E,224
Bahrain,1700,E,13
Cyprus,1206,E,72
Georgia,3988,E,247
Iraq,40224,E,431
Israel,8658,E,432
Jordan,10201,E,142
Kuwait,4270,E,26
Lebanon,6823,E,185
Oman,5108,E,47
Qatar,2881,E,8
Saudi Arabia,34814,E,370
State of Palestine,5099,E,50
Syrian Arab Republic,17500,E,287
Turkey,84337,E,2857
United Arab Emirates,9892,E,32
Yemen,29825,E,244
Kazakhstan,18779,E,537
Kyrgyzstan,6525,E,87
Tajikistan,9538,E,83
Turkmenistan,6033,E,87
Uzbekistan,33468,E,488
Afghanistan,38927,E,274
Bangladesh,164688,E,3455
Bhutan,771,E,19
India,1380004,E,28368
Iran (Islamic Republic of),83994,E,1802
Maldives,541,E,8
Nepal,29137,E,560
Pakistan,220893,E,3277
Sri Lanka,21414,E,779
China,1439323,E,53163
"China, Hong Kong SAR",7499,E,561
"China, Macao SAR",649,E,23
"China, Taiwan Province of China",23817,E,1455
Dem. People's Republic of Korea,25778,E,1003
Japan,126477,E,18410
Mongolia,3279,E,45
Republic of Korea,51269,E,3419
Brunei Darussalam,435,E,6
Cambodia,16719,E,227
Indonesia,273523,E,5376
Lao People's Democratic Republic,7278,E,91
Malaysia,32367,E,739
Myanmar,54410,E,948
Philippines,109581,E,1893
Singapore,5851,E,234
Thailand,69801,E,3506
Timor-Leste,1318,E,18
Viet Nam,97339,E,2994
Antigua and Barbuda,99,E,4
Aruba,108,E,6
Bahamas,394,E,10
Barbados,288,E,21
Cuba,11326,E,784
Curaçao,163,E,12
Dominican Republic,10849,E,318
Grenada,114,E,4
Guadeloupe,400,E,34
Haiti,11402,E,208
Jamaica,2960,E,107
Martinique,373,E,37
Puerto Rico,2859,E,273
Saint Lucia,182,E,7
Saint Vincent and the Grenadines,111,E,4
Trinidad and Tobago,1398,E,57
United States Virgin Islands,103,E,8
Belize,395,E,7
Costa Rica,5093,E,205
El Salvador,6488,E,237
Guatemala,17915,E,355
Honduras,9906,E,187
Mexico,128934,E,3760
Nicaragua,6622,E,143
Panama,4312,E,153
Argentina,45195,E,2155
Bolivia (Plurinational State of),11673,E,371
Brazil,212559,E,7651
Chile,19116,E,949
Colombia,50882,E,1738
Ecuador,17644,E,525
French Guiana,299,E,5
Guyana,786,E,19
Paraguay,7133,E,176
Peru,32971,E,1115
Suriname,588,E,15
Uruguay,3473,E,250
Venezuela (Bolivarian Republic of),28437,E,799
Australia,25500,E,1818
New Zealand,4820,E,334
Fiji,894,E,13
New Caledonia,286,E,9
Papua New Guinea,8947,E,74
Solomon Islands,687,E,8
Vanuatu,308,E,3
Guam,168,E,6
Kiribati,118,E,1
Micronesia (Fed. States of),115,E,1
French Polynesia,281,E,8
Samoa,200,E,3
Tonga,104,E,2
Belarus,9449,E,624
Bulgaria,6949,E,612
Czechia,10708,E,862
Hungary,9661,E,803
Poland,37849,E,2788
Republic of Moldova,4034,E,168
Romania,19238,E,1527
Russian Federation,145936,E,8814
Slovakia,5460,E,341
Ukraine,43733,E,3030
Channel Islands,173,E,14
Denmark,5791,E,507
Estonia,1326,E,133
Finland,5539,E,535
Iceland,339,E,21
Ireland,4940,E,292
Latvia,1888,E,196
Lithuania,2723,E,287
Norway,5422,E,409
Sweden,10098,E,962
United Kingdom,67887,E,5894
Albania,2879,E,172
Bosnia and Herzegovina,3279,E,222
Croatia,4105,E,390
Greece,10423,E,1193
Italy,60463,E,7166
Malta,442,E,40
Montenegro,628,E,37
North Macedonia,2083,E,106
Portugal,10195,E,1133
Serbia,8738,E,606
Slovenia,2078,E,193
Spain,46753,E,4734
Austria,9005,E,870
Belgium,11591,E,1043
France,65274,E,6231
Germany,83784,E,9513
Luxembourg,625,E,40
Netherlands,17136,E,1476
Switzerland,8657,E,789
Canada,37742,E,2892
United States of America,331002,E,22875
